,iteration,coverage
0,20,0.9322666666666667
1,40,1.9601777777777778
2,60,2.9226666666666667
3,80,4.044444444444444
4,100,4.859377777777778
5,120,5.618133333333334
6,140,6.669688888888889
7,160,7.910399999999999
8,180,8.875555555555556
9,200,9.74471111111111
10,220,10.802311111111111
11,240,11.462222222222222
12,260,11.9936
13,280,12.721955555555557
14,300,13.293333333333331
15,320,13.827200000000001
16,340,14.925511111111112
17,360,15.727288888888888
18,380,16.108800000000002
19,400,16.618844444444445
20,420,16.872711111111112
21,440,17.145422222222223
22,460,17.588977777777778
23,480,18.003022222222224
24,500,18.660266666666665
25,520,19.11608888888889
26,540,19.41297777777778
27,560,19.732977777777776
28,580,19.95608888888889
29,600,20.075377777777778
30,620,20.36568888888889
31,640,20.576888888888888
32,660,20.73368888888889
33,680,20.9808
34,700,21.278755555555556
35,720,22.47608888888889
36,740,23.68568888888889
37,760,24.729422222222222
38,780,25.660088888888886
39,800,26.705422222222225
40,820,27.403377777777777
41,840,27.548088888888888
42,860,27.661155555555556
43,880,27.784
44,900,27.95022222222222
45,920,28.296177777777775
46,940,28.870044444444442
47,960,29.282488888888892
48,980,29.503111111111114
49,1000,29.638933333333334
50,1020,29.9488
51,1040,30.012266666666665
52,1060,30.119466666666668
53,1080,30.219022222222225
54,1100,30.289955555555554
55,1120,30.457955555555554
56,1140,31.199466666666666
57,1160,32.190577777777776
58,1180,32.705422222222225
59,1200,32.87182222222222
60,1220,32.9328
61,1240,33.91395555555556
62,1260,35.06968888888889
63,1280,35.75857777777778
64,1300,35.901155555555555
65,1320,35.946311111111115
66,1340,35.98826666666667
67,1360,36.327999999999996
68,1380,36.949333333333335
69,1400,37.428977777777774
70,1420,37.76213333333333
71,1440,37.85866666666667
72,1460,37.9456
73,1480,38.02435555555556
74,1500,38.1664
75,1520,38.38133333333333
76,1540,38.416533333333334
77,1560,38.536
78,1580,38.59146666666667
79,1600,39.019733333333335
80,1620,39.93991111111111
81,1640,40.7408
82,1660,41.02311111111111
83,1680,41.199466666666666
84,1700,41.21511111111111
85,1720,41.24764444444444
86,1740,41.290844444444446
87,1760,41.35662222222222
88,1780,41.501511111111114
89,1800,41.532799999999995
90,1820,41.705244444444446
91,1840,42.49066666666666
92,1860,43.1792
93,1880,43.309688888888886
94,1900,43.336000000000006
95,1920,43.36515555555556
96,1940,43.385777777777776
97,1960,43.431466666666665
98,1980,43.47431111111111
99,2000,43.558400000000006
100,2020,43.7392
101,2040,44.11271111111111
102,2060,44.20906666666667
103,2080,44.2192
104,2100,44.22595555555556
